latency_ms,bandwidth_kbps,cpu_power_score,message_size_kb,security_level,hndl_risk,mode
12,9500,0.95,2,5,0.95,Hybrid
25,8000,0.90,5,5,0.90,Hybrid
30,7500,0.85,10,5,0.85,Hybrid
18,9000,0.92,3,5,0.80,Hybrid
40,6000,0.80,15,4,0.75,Hybrid
50,5000,0.75,20,4,0.70,Hybrid
60,4500,0.70,25,4,0.68,Hybrid
35,7000,0.88,8,5,0.72,Hybrid
22,8500,0.91,4,5,0.88,Hybrid
45,5500,0.78,18,4,0.76,Hybrid
55,4000,0.72,30,4,0.65,Hybrid
80,3500,0.65,40,3,0.60,PQC
100,3000,0.60,50,3,0.55,PQC
120,2500,0.58,60,3,0.50,PQC
90,3200,0.62,45,3,0.48,PQC
110,2800,0.55,55,3,0.52,PQC
130,2200,0.56,65,3,0.45,PQC
150,2000,0.53,70,3,0.42,PQC
95,3100,0.61,48,3,0.46,PQC
115,2700,0.57,58,3,0.51,PQC
140,2100,0.54,68,3,0.44,PQC
85,3400,0.63,42,3,0.47,PQC
105,2900,0.59,52,3,0.53,PQC
125,2400,0.57,62,3,0.40,PQC
200,1500,0.40,80,2,0.20,Classical
250,1200,0.35,100,2,0.15,Classical
300,1000,0.30,120,1,0.10,Classical
350,800,0.28,150,1,0.08,Classical
400,600,0.25,200,1,0.05,Classical
450,500,0.22,250,1,0.03,Classical
220,1400,0.38,90,2,0.18,Classical
270,1100,0.33,110,2,0.12,Classical
320,900,0.29,130,1,0.09,Classical
370,700,0.26,160,1,0.06,Classical
420,550,0.23,220,1,0.04,Classical
210,1450,0.39,85,2,0.19,Classical
260,1150,0.34,105,2,0.13,Classical
310,950,0.31,125,1,0.07,Classical
14,9200,0.93,2,5,0.92,Hybrid
28,7800,0.87,6,5,0.82,Hybrid
42,6200,0.82,12,4,0.78,Hybrid
52,4800,0.76,22,4,0.71,Hybrid
62,4300,0.71,28,4,0.66,Hybrid
88,3300,0.64,43,3,0.49,PQC
108,2800,0.58,53,3,0.50,PQC
128,2300,0.56,63,3,0.43,PQC
148,2050,0.53,69,2,0.41,PQC
230,1350,0.37,92,2,0.17,Classical
280,1050,0.32,112,1,0.11,Classical
330,850,0.27,135,1,0.08,Classical
380,650,0.24,165,1,0.06,Classical
16,9100,0.94,2,5,0.93,Hybrid
32,7200,0.86,7,5,0.83,Hybrid
48,5200,0.77,19,4,0.73,Hybrid
58,4400,0.73,26,4,0.67,Hybrid
38,6800,0.84,9,5,0.79,Hybrid
92,3150,0.63,46,3,0.47,PQC
112,2750,0.57,56,3,0.49,PQC
132,2150,0.55,66,3,0.43,PQC
240,1300,0.36,95,2,0.16,Classical
290,1000,0.31,115,1,0.10,Classical
340,820,0.27,138,1,0.07,Classical
390,620,0.24,168,1,0.05,Classical
20,8800,0.91,3,5,0.89,Hybrid
44,5800,0.79,16,4,0.74,Hybrid
64,4100,0.69,32,4,0.64,Hybrid
98,3050,0.61,49,3,0.46,PQC
118,2600,0.56,59,3,0.44,PQC
138,2080,0.53,67,3,0.42,PQC
245,1280,0.36,97,2,0.16,Classical
295,980,0.30,118,1,0.09,Classical
345,800,0.26,140,1,0.07,Classical
26,8100,0.89,5,5,0.87,Hybrid
46,5600,0.78,17,4,0.72,Hybrid
66,4000,0.68,33,4,0.63,PQC
96,3100,0.62,47,3,0.48,PQC
116,2650,0.56,57,3,0.50,PQC
136,2120,0.54,65,3,0.41,PQC
255,1250,0.35,98,2,0.15,Classical
305,940,0.30,120,1,0.09,Classical
355,760,0.26,145,1,0.06,Classical
75,3700,0.67,38,3,0.56,PQC
145,2020,0.52,71,2,0.40,PQC
160,1900,0.50,75,2,0.38,Classical
175,1780,0.48,78,2,0.22,Classical
185,1650,0.44,82,2,0.20,Classical
195,1580,0.41,85,2,0.19,Classical
68,4200,0.70,30,4,0.62,PQC
72,3900,0.66,36,3,0.58,PQC
78,3600,0.65,40,3,0.54,PQC
82,3450,0.63,41,3,0.51,PQC
36,7100,0.83,9,5,0.81,Hybrid
54,4700,0.76,21,4,0.69,Hybrid
70,4000,0.71,29,4,0.64,Hybrid
56,4600,0.75,23,4,0.70,Hybrid
102,2950,0.60,51,3,0.48,PQC
142,2060,0.54,69,3,0.41,PQC
